order_id,order_date,amount,order_status,updated_at
1,2025-04-01,120.5,Processing,2025-04-01
2,2025-04-01,89.99,Shipped,2025-04-02
3,2025-04-02,45,Cancelled,2025-04-03
4,2025-04-02,200,Delivered,2025-04-04
5,2025-04-03,15.75,Processing,2025-04-03
6,2025-04-04,99.95,Shipped,2025-04-05
7,2025-04-04,180.6,Delivered,2025-04-06
8,2025-04-05,60,Cancelled,2025-04-05
9,2025-04-06,35.4,Processing,2025-04-06
10,2025-04-06,500,Delivered,2025-04-08
11,2025-04-07,25,Processing,2025-04-07
12,2025-04-07,78.8,Shipped,2025-04-08
13,2025-04-08,150,Delivered,2025-04-09
14,2025-04-08,90.9,Processing,2025-04-08
15,2025-04-09,30,Cancelled,2025-04-09
16,2025-04-09,70.25,Shipped,2025-04-10
17,2025-04-10,20,Delivered,2025-04-11
18,2025-04-10,99.99,Processing,2025-04-10
19,2025-04-11,110.1,Shipped,2025-04-12
20,2025-04-12,55.55,Delivered,2025-04-13
